Ticker,TickerType,Company,Traded,Transaction,Trade_Size_USD,Status,Subholding,Description,Name,BioGuideID,Filed,Party,District,Chamber,Comments,Quiver_Upload_Time,excess_return,State,last_modified
SNI,,"SCRIPPS NETWORKS INTERACTIVE, INC COMMON CLASS A",2013-12-30,Sale,"$1,001 - $15,000",NEW,,PUT 2/22/2014 $80 (100SHS),Mr. Richard L. Hanna,H001051,2014-01-15,R, NY22,House,,2020-07-26,-44.5085951819533,New York,2023-11-16
AAPL,,APPLE INC.,2013-12-30,Sale,"$1,001 - $15,000",NEW,,PUT 2/22/2014 $525 (100SHS),Mr. Richard L. Hanna,H001051,2014-01-15,R, NY22,House,,2020-07-26,988.070739130182,New York,2023-11-16
JPM,,JP MORGAN CHASE & CO.,2013-12-30,Sale,"$1,001 - $15,000",NEW,,PUT 2/22/2014 $57.50 (100SHS),Mr. Richard L. Hanna,H001051,2014-01-15,R, NY22,House,,2020-07-26,158.557884580075,New York,2023-11-16
TX1,,TJX COS INC NEW,2013-12-23,Sale,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2014-01-16,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
TX1,,TJX COS INC NEW,2013-12-23,Sale,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2014-01-16,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
DG1,,DOLLAR GEN CORP,2013-12-23,Sale,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2014-01-16,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
FTI1,,FMC TECHNOLOGIES INC,2013-12-19,Sale,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2014-01-16,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
FTI1,,FMC TECHNOLOGIES INC,2013-12-19,Sale,"$1,001 - $15,000",,,,Michael T. McCaul,M001157,2014-01-16,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
SLB,,SCHLUMBERGER N.V.,2013-12-19,Sale,"$1,001 - $15,000",NEW,,PUT 1/18/2014 $85 (100SHS),Mr. Richard L. Hanna,H001051,2014-01-15,R, NY22,House,,2020-07-26,-319.986743347364,New York,2023-11-16
DG1,,DOLLAR GEN CORP,2013-12-10,Purchase,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2014-01-16,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
DG1,,DOLLAR GEN CORP,2013-12-10,Purchase,"$15,001 - $50,000",,,,Michael T. McCaul,M001157,2014-01-16,R,,House,Handfiled Trade,2025-05-20,,Texas,2025-05-20
